,Amenaza,Repeticiones,%_Aparicion_dataset
1831,"salmonella enterica ser. agona,salmonella enterica ser. derby,salmonella enterica ser. havana,salmonella enterica ser. mbandaka,salmonella enterica ser. montevideo",1,1.6255933415696728e-05
1832,"unauthorised novel food ingredient agmatine sulphate,unauthorised novel food ingredient norcoclaurine",1,1.6255933415696728e-05
1833,"chlorpyrifos,diazinon,endosulfan ii,pirimicarb,unauthorised substance endosulfan",1,1.6255933415696728e-05
1834,salmonella enterica ser. weybridge,1,1.6255933415696728e-05
1835,"defective packaging,unauthorised operator",1,1.6255933415696728e-05
1836,"fish undeclared,mustard undeclared",1,1.6255933415696728e-05
1837,salmonella enterica ser. odozi,1,1.6255933415696728e-05
1838,"salmonella enterica ser. infantis,salmonella enterica ser. typhimurium dt 193 - multiresistant",1,1.6255933415696728e-05
1839,diclazuril unauthorised,1,1.6255933415696728e-05
1840,"citrulline malate unauthorised,high content of caffeine,unauthorised ingredient,unauthorised substance n-acetyl tyrosine,unauthorised substance beta-alanine,unauthorised substance phenethylamine derivative,unauthorised substance synephrine",1,1.6255933415696728e-05
1841,"e 321 - butylated hydroxytoluene (bht) unauthorised,e 321 - butylated hydroxytoluene (bht) unlabelled",1,1.6255933415696728e-05
1842,"unauthorised novel food ingredient zeolite,unauthorised use of colour e 127 - erythrosine,undeclared colour e 127 - erythrosine",1,1.6255933415696728e-05
1843,"bacillus,staphylococcus,too high count of aerobic mesophiles",1,1.6255933415696728e-05
1844,"acetamiprid,etofenprox,imidacloprid,unauthorised substance dinotefuran",1,1.6255933415696728e-05
1845,"bacillus cereus,clostridium perfringens",1,1.6255933415696728e-05
1846,"cyfluthrin,lambda-cyhalothrin",1,1.6255933415696728e-05
1847,"e 210 - benzoic acid unauthorised,sulphite unauthorised,unauthorised use of colour e 102 - tartrazine",1,1.6255933415696728e-05
1848,"e 210 - benzoic acid unauthorised,unauthorised use of colour e 110 - sunset yellow fcf",1,1.6255933415696728e-05
1849,"gluten undeclared,mustard undeclared,sesame oil undeclared,soya undeclared",1,1.6255933415696728e-05
1850,"unauthorised substance dehydroepiandrosterone (dhea),unauthorised substance nandrolone,unauthorised substance testosterone",1,1.6255933415696728e-05
1851,"unauthorised substance permethrin,unauthorised substance tolfenpyrad",1,1.6255933415696728e-05
1852,traces of lupin,1,1.6255933415696728e-05
1853,"propiconazole,unauthorised substance carbofuran,unauthorised substance carbosulfan",1,1.6255933415696728e-05
1854,"cashew nut undeclared,hazelnut undeclared,nuts undeclared",1,1.6255933415696728e-05
1855,"benzalkonium chloride (bac),benzethonium chloride",1,1.6255933415696728e-05
1856,"salmonella enterica ser. enteritidis,salmonella enterica ser. kedougou",1,1.6255933415696728e-05
1857,"salmonella enterica ser. adelaide,salmonella enterica ser. cubana",1,1.6255933415696728e-05
1858,"difenoconazole,propiconazole,unauthorised substance carbendazim,unauthorised substance hexaconazole",1,1.6255933415696728e-05
1859,unauthorised substance dimefuron,1,1.6255933415696728e-05
1860,para-toluene sulfonamide,1,1.6255933415696728e-05
1861,"poor hygienic state,poor state of preservation",1,1.6255933415696728e-05
1862,unauthorised substance doxylamine,1,1.6255933415696728e-05
1863,"unauthorised novel food ingredient casearia sylvestris,unauthorised novel food ingredient cuphea (cuphea carthaginensis)",1,1.6255933415696728e-05
1864,"salmonella enterica ser. derby,salmonella enterica ser. panama,enterotoxin producing bacillus cereus",1,1.6255933415696728e-05
1865,"particles,plastic fragments",1,1.6255933415696728e-05
1866,"unauthorised novel food ingredient epimedium,unauthorised novel food ingredient yohimbe bark extract",1,1.6255933415696728e-05
1867,e 231 - orthophenylphenol,1,1.6255933415696728e-05
1868,"salmonella enterica ser. agona,salmonella enterica ser. cubana",1,1.6255933415696728e-05
1869,"salmonella enterica ser. morehead,salmonella enterica ser. sandiego",1,1.6255933415696728e-05
1870,"salmonella enterica ser. livingstone,salmonella enterica ser. milwaukee,salmonella enterica ser. vleuten",1,1.6255933415696728e-05
1871,"acetamiprid,bifenthrin,diethion,unauthorised substance acephate,unauthorised substance endosulfan,unauthorised substance methamidophos,unauthorised substance profenofos,unauthorised substance propargite,unauthorised substance triazophos",1,1.6255933415696728e-05
1872,"unauthorised ingredient,wheat undeclared",1,1.6255933415696728e-05
1873,"egg undeclared,gluten undeclared,wheat undeclared",1,1.6255933415696728e-05
1874,"defective packaging,insufficient labelling",1,1.6255933415696728e-05
1875,"chlorpyrifos,unauthorised substance chlorfenapyr,unauthorised substance chlorfluazuron,unauthorised substance hexaconazole",1,1.6255933415696728e-05
1876,"unauthorised use of colour e 102 - tartrazine,undeclared colour e 102 - tartrazine",1,1.6255933415696728e-05
1877,"myclobutanil,tebuconazole,unauthorised substance acephate,unauthorised substance fipronil,unauthorised substance hexaconazole,unauthorised substance triazophos",1,1.6255933415696728e-05
1878,"fluoxastrobin,triadimenol",1,1.6255933415696728e-05
1879,"fish undeclared,milk ingredient undeclared",1,1.6255933415696728e-05
1880,"poor state of preservation,poor temperature control - rupture of the cold chain -",1,1.6255933415696728e-05
1881,"methomyl,unauthorised substance epn,unauthorised substance carbofuran",1,1.6255933415696728e-05
1882,"unauthorised novel food ingredient acacia rigidula,unauthorised novel food ingredient parasitic loranthus,unauthorised substance synephrine",1,1.6255933415696728e-05
1883,"unauthorised use of colour e 141i - copper complexes of chlorophylls,unauthorised use of colour e 160b - annato/bixin/norbixin",1,1.6255933415696728e-05
1884,"unauthorised substance carbendazim,unauthorised substance flusilazole",1,1.6255933415696728e-05
1885,"listeria monocytogenes,salmonella enterica ser. enteritidis",1,1.6255933415696728e-05
1886,"prohibited substance ddt,unauthorised substance propoxur",1,1.6255933415696728e-05
1887,salmonella enterica ser. gege,1,1.6255933415696728e-05
1888,"dimethoate,pyridaben,unauthorised substance omethoate",1,1.6255933415696728e-05
1889,"attempt to illegally import,prohibited substance nitrofuran (metabolite) furaltadone (amoz)",1,1.6255933415696728e-05
1890,"absence of labelling,fraudulent health certificate(s)",1,1.6255933415696728e-05
1891,"chlorpyrifos,cyproconazole,diazinon,unauthorised substance fipronil",1,1.6255933415696728e-05
1892,"bromide,chlormequat,cyprodinil,fludioxonil",1,1.6255933415696728e-05
1893,"altered organoleptic characteristics,contaminated with mouse faeces",1,1.6255933415696728e-05
1894,"high content of vitamin a,high content of vitamin b6,high content of vitamin e",1,1.6255933415696728e-05
1895,"staphylococcus aureus,high count of escherichia coli,shigatoxin-producing escherichia coli",1,1.6255933415696728e-05
1896,"absence of health mark,specified risk material (srm)",1,1.6255933415696728e-05
1897,"salmonella enterica ser. oranienburg,salmonella enterica ser. telelkebir",1,1.6255933415696728e-05
1898,"imazalil,orthophenylphenol",1,1.6255933415696728e-05
1899,"poor temperature control - rupture of the cold chain -,unsuitable transport conditions",1,1.6255933415696728e-05
1900,"improper import declaration,unauthorised operator",1,1.6255933415696728e-05
1901,"citrulline unauthorised,unauthorised novel food ingredient rhodiola rosea,unauthorised substance beta-alanine",1,1.6255933415696728e-05
1902,"e 210 - benzoic acid undeclared,unauthorised colour sudan 1",1,1.6255933415696728e-05
1903,"staphylococcal enterotoxin,vibrio cholerae non o:1/non o:139",1,1.6255933415696728e-05
1904,"too high content of selenium,too high count of mesophiles",1,1.6255933415696728e-05
1905,unauthorised substance calcium lactate gluconate,1,1.6255933415696728e-05
1906,"black particles,non-pathogenic bacteria",1,1.6255933415696728e-05
1907,"clothianidin,cypermethrin",1,1.6255933415696728e-05
1908,"contaminated with bird faeces,contaminated with mouse faeces",1,1.6255933415696728e-05
1909,"enrofloxacin unauthorised,sulfonamide unauthorised,toltrazuril unauthorised,trimethoprim unauthorised",1,1.6255933415696728e-05
1910,"unauthorised ingredient,unauthorised substance hordenine,unauthorised substance synephrine,unauthorised substance yohimbine",1,1.6255933415696728e-05
1911,"malathion,unauthorised substance profenofos",1,1.6255933415696728e-05
1912,"cypermethrin,unauthorised substance triazophos",1,1.6255933415696728e-05
1913,"unauthorised substance dicofol,unauthorised substance monocrotophos",1,1.6255933415696728e-05
1914,"unauthorised novel food ingredient betaine,unauthorised substance yohimbine",1,1.6255933415696728e-05
1915,"salmonella enterica ser. gaminara,salmonella enterica ser. minnesota,salmonella enterica ser. saphra,salmonella enterica ser. schwarzengrund",1,1.6255933415696728e-05
1916,"unauthorised use of colour e 102 - tartrazine,unauthorised use of colour e 122 - azorubine,unauthorised use of colour e 123 - amaranth",1,1.6255933415696728e-05
1917,"salmonella enterica ser. karamoja,salmonella enterica ser. lode,salmonella enterica ser. orion,salmonella enterica ser. poona",1,1.6255933415696728e-05
1918,"salmonella,abnormal colour,abnormal smell,aerobic plate count too high",1,1.6255933415696728e-05
1919,"aflatoxins,dead insects,unsuitable organoleptic characteristics",1,1.6255933415696728e-05
1920,"incorrect labelling,shellfish undeclared",1,1.6255933415696728e-05
1921,salmonella enterica ser. bulovka,1,1.6255933415696728e-05
1922,"absence of labelling,improper packaging",1,1.6255933415696728e-05
1923,"salmonella enterica ser. münchen,salmonella enterica ser. poona",1,1.6255933415696728e-05
1924,e 523 - aluminium ammonium sulphate unauthorised,1,1.6255933415696728e-05
1925,"acetamiprid,imidacloprid,lambda-cyhalothrin,unauthorised substance diafenthiuron,unauthorised substance dinotefuran,unauthorised substance tolfenpyrad",1,1.6255933415696728e-05
1926,"unauthorised substance iron glycinate chelate,unauthorised substance manganese glycinate chelate",1,1.6255933415696728e-05
1927,trimethoprim unauthorised,1,1.6255933415696728e-05
1928,"insufficient labelling,unauthorised novel food ingredient cannabidiol (cbd)",1,1.6255933415696728e-05
1929,unauthorised novel food ingredient rauwolfia vomitoria root extract,1,1.6255933415696728e-05
1930,"presence of antibiotics,presence of bacterial inhibitor",1,1.6255933415696728e-05
1931,risk of favism due to the absence of cooking instructions,1,1.6255933415696728e-05
1932,"e 338 - phosphoric acid unauthorised,unauthorised use of colour e 122 - azorubine",1,1.6255933415696728e-05
1933,"migration of dehp - di(2-ethylhexyl) phthalate,migration of bis(2-ethylhexyl) terephthalate (dotp)",1,1.6255933415696728e-05
1934,"salmonella enterica ser. glostrup,salmonella enterica ser. minnesota,salmonella enterica ser. newport,salmonella enterica ser. poona",1,1.6255933415696728e-05
1935,"arsenic,cadmium,chromium,copper,lead,mercury,nickel",1,1.6255933415696728e-05
1936,"bacillus cereus,high count of escherichia coli,too high count of enterobacteriaceae",1,1.6255933415696728e-05
1937,"altered organoleptic characteristics,lead,tin,too high content of iron",1,1.6255933415696728e-05
1938,"suffocation risk as a result of the consumption,too high content of e 210 - benzoic acid",1,1.6255933415696728e-05
1939,migration of acrylonitrile,1,1.6255933415696728e-05
1940,too high content of e 385 - calcium disodium ethylene diamine tetra acetate (cdedta),1,1.6255933415696728e-05
1941,"glycidyl esters,mineral oil",1,1.6255933415696728e-05
1942,"high content of vitamin b12,high content of vitamin d,high content of vitamin e,unauthorised novel food ingredient leaves of annona muricata,unauthorised novel food ingredient raspberry ketone",1,1.6255933415696728e-05
1943,"aflatoxins,unauthorised substance triazophos",1,1.6255933415696728e-05
1944,salmonella enterica ser. jangwani,1,1.6255933415696728e-05
1945,"high content of caffeine,prohibited ingredient ephedra,unauthorised substance beta-phenylmethylamine,unauthorised substance yohimbine",1,1.6255933415696728e-05
1946,"unauthorised genetically modified,unlabelled genetically modified",1,1.6255933415696728e-05
1947,"high content of vitamin b6,high content of vitamin e,high content of zinc,unauthorised novel food ingredient tabebuia impetiginosa bark extract",1,1.6255933415696728e-05
1948,"buprofezin,unauthorised substance dinotefuran",1,1.6255933415696728e-05
1949,"illegal import,poor hygienic state",1,1.6255933415696728e-05
1950,"insufficient labelling,unauthorised ingredient,unauthorised substance 1,3-dimethylbutylamine (nor-dmaa),unauthorised substance yohimbine",1,1.6255933415696728e-05
1951,unauthorised food additive isopropyl alcohol,1,1.6255933415696728e-05
1952,"absence of labelling,incorrect labelling",1,1.6255933415696728e-05
1953,"cypermethrin,trifloxystrobin,unauthorised substance chlorfenapyr",1,1.6255933415696728e-05
1954,"bifenthrin,diethion,unauthorised substance acephate,unauthorised substance methamidophos,unauthorised substance profenofos,unauthorised substance propargite,unauthorised substance triazophos",1,1.6255933415696728e-05
1955,"bacillus cereus,salmonella,sulphite reducing anaerobes",1,1.6255933415696728e-05
1956,"too high intake of caffeine,unauthorised novel food ingredient rauwolfia vomitoria root extract,unauthorised novel food ingredient agmatine sulphate,unauthorised substance yohimbine",1,1.6255933415696728e-05
1957,"salmonella enterica ser. enteritidis,salmonella enterica ser. ohio,salmonella enterica ser. typhimurium",1,1.6255933415696728e-05
1958,"chlorpyrifos,unauthorised substance carbendazim,unauthorised substance ethion",1,1.6255933415696728e-05
1959,too high content of e 476 - polyglycerol polyricinoleate,1,1.6255933415696728e-05
1960,"listeria innocua,listeria monocytogenes",1,1.6255933415696728e-05
1961,"too high content of colour e 102 - tartrazine,too high content of colour e 110 - sunset yellow fcf,too high content of colour e 124 - ponceau 4r / cochineal red a,undeclared colour e 142 - green s",1,1.6255933415696728e-05
1962,"unauthorised substance carbendazim,unauthorised substance procymidone,unauthorised substance profenofos",1,1.6255933415696728e-05
1963,"e 214 - ethyl-p-hydroxybenzoate unauthorised,unauthorised food additive e 216 - propyl p-hydroxybenzoate",1,1.6255933415696728e-05
1964,"insufficient labelling,unauthorised operator",1,1.6255933415696728e-05
1965,residue level above mrl for benzimidazole,1,1.6255933415696728e-05
1966,import for direct consumption,1,1.6255933415696728e-05
1967,"salmonella enterica ser. agona,foodborne outbreak suspected",1,1.6255933415696728e-05
1968,"too high content of sweetener e 954 - saccharin,unauthorised colour acid red 52",1,1.6255933415696728e-05
1969,"altered organoleptic characteristics,unfit for human consumption",1,1.6255933415696728e-05
1970,migration of benzene,1,1.6255933415696728e-05
1971,"salmonella,salmonella enterica ser. senftenberg,too high count of enterobacteriaceae",1,1.6255933415696728e-05
1972,"methomyl,unauthorised substance dithiocarbamates",1,1.6255933415696728e-05
1973,volatile mustard oil,1,1.6255933415696728e-05
1974,"altered organoleptic characteristics,living and dead mites",1,1.6255933415696728e-05
1975,"unauthorised colour orange g,unauthorised colour orange ii",1,1.6255933415696728e-05
1976,"salmonella enterica ser. derby,salmonella enterica ser. indiana",1,1.6255933415696728e-05
1977,"acetamiprid,chlorpyrifos",1,1.6255933415696728e-05
1978,"lead,thorium,uranium",1,1.6255933415696728e-05
1979,"defective packaging,infested with larvae of insects,infested with moulds",1,1.6255933415696728e-05
1980,"salmonella enterica ser. haardt,salmonella enterica ser. newport",1,1.6255933415696728e-05
1981,"unauthorised use of colour e 110 - sunset yellow fcf,unauthorised use of colour e 123 - amaranth,undeclared colour e 110 - sunset yellow fcf,undeclared colour e 123 - amaranth",1,1.6255933415696728e-05
1982,bacterial protein unauthorised,1,1.6255933415696728e-05
1983,"formetanate,oxamyl",1,1.6255933415696728e-05
1984,"migration of chromium,migration of lead,migration of manganese",1,1.6255933415696728e-05
1985,peroxide value too high,1,1.6255933415696728e-05
1986,"phentachloroaniline,unauthorised substance procymidone",1,1.6255933415696728e-05
1987,"too high content of barium,too high content of fluoride",1,1.6255933415696728e-05
1988,"buprofezin,diphenylamine",1,1.6255933415696728e-05
1989,"buprofezin,imidacloprid,unauthorised substance n,n-diethyl-meta-toluamide (deet),unauthorised substance isoprocarb",1,1.6255933415696728e-05
1990,"unauthorised substance chlorpyrifos,unauthorised substance dimethoate",1,1.6255933415696728e-05
1991,"salmonella enterica ser. kedougou,salmonella enterica ser. senftenberg",1,1.6255933415696728e-05
1992,"prohibited substance beta - hch,prohibited substance chloramphenicol,prohibited substance nitrofuran (metabolite) furazolidone (aoz),prohibited substance nitrofuran (metabolite) nitrofurazone (sem)",1,1.6255933415696728e-05
1993,"unauthorised colour fast garnet,unauthorised colour orange ii,unauthorised colour sudan 1,unauthorised colour sudan 4",1,1.6255933415696728e-05
1994,"esfenvalerate,unauthorised substance triazophos",1,1.6255933415696728e-05
1995,"acetamiprid,methomyl,unauthorised substance acephate,unauthorised substance methamidophos,unauthorised substance monocrotophos",1,1.6255933415696728e-05
1996,"unauthorised substance carbofuran,unauthorised substance chlorfluazuron",1,1.6255933415696728e-05
1997,"salmonella enterica ser. haifa,salmonella enterica ser. leeuwarden",1,1.6255933415696728e-05
1998,risk of phosphine contamination,1,1.6255933415696728e-05
1999,"salmonella,salmonella enterica ser. hadar,salmonella enterica ser. saintpaul",1,1.6255933415696728e-05
2000,"quinalphos,unauthorised substance carbendazim,unauthorised substance chlorfenapyr,unauthorised substance permethrin,unauthorised substance profenofos,unauthorised substance tricyclazole",1,1.6255933415696728e-05
2001,"incorrect labelling,unauthorised operator",1,1.6255933415696728e-05
2002,"salmonella,salmonella enterica ser. saintpaul,salmonella enterica ser. sandiego",1,1.6255933415696728e-05
2003,"unauthorised substance n-acetyl tyrosine,unauthorised substance yohimbine",1,1.6255933415696728e-05
2004,salmonella enterica ser. larochelle,1,1.6255933415696728e-05
2005,"contaminated with mouse faeces,mouse bait",1,1.6255933415696728e-05
2006,"unauthorised substance boron chelate,unauthorised substance vanadium",1,1.6255933415696728e-05
2007,"absence of health certificate(s),improper health certificate(s)",1,1.6255933415696728e-05
2008,"cypermethrin,unauthorised substance cyhalothrin",1,1.6255933415696728e-05
2009,salmonella enterica ser. newlands,1,1.6255933415696728e-05
2010,etofenprox,1,1.6255933415696728e-05
2011,"corrosion,migration of chromium,migration of nickel",1,1.6255933415696728e-05
2012,"dimethoate,unauthorised substance acephate",1,1.6255933415696728e-05
2013,"unauthorised novel food ingredient agmatine sulphate,unauthorised substance vinpocetine",1,1.6255933415696728e-05
2014,"salmonella enterica ser. infantis,salmonella enterica ser. kottbus",1,1.6255933415696728e-05
2015,"foodborne outbreak,phytohaemagglutinin",1,1.6255933415696728e-05
2016,"high content of free fatty acids,unsuitable organoleptic characteristics",1,1.6255933415696728e-05
2017,"chlorpyrifos,unauthorised substance carbaryl",1,1.6255933415696728e-05
2018,"salmonella,absence of certified analytical report,absence of health certificate(s)",1,1.6255933415696728e-05
2019,e 338 - phosphoric acid unauthorised,1,1.6255933415696728e-05
2020,"unauthorised substance methamidophos,unauthorised substance profenofos,unauthorised substance prothiofos",1,1.6255933415696728e-05
2021,"salmonella enterica ser. lexington,salmonella enterica ser. orion",1,1.6255933415696728e-05
2022,"lactoprotein undeclared,traces of soya",1,1.6255933415696728e-05
2023,"prohibited ingredient yohimbe bark extract,unauthorised novel food ingredient acacia rigidula,unauthorised novel food ingredient cnidium monnieri,unauthorised novel food ingredient dendrobium nobile,unauthorised novel food ingredient epimedium,unauthorised novel food ingredient hoodia gordonii,unauthorised novel food ingredient xanthoparmelia scabrosa,unauthorised novel food ingredient agmatine sulphate",1,1.6255933415696728e-05
2024,"too high content of nitrate,unauthorised substance carbendazim,unauthorised substance chlorfenapyr,unauthorised substance chlorfluazuron",1,1.6255933415696728e-05
2025,high content of vitamin c,1,1.6255933415696728e-05
2026,too high content of apramycin,1,1.6255933415696728e-05
2027,"bacillus cereus,infested with moulds",1,1.6255933415696728e-05
2028,diethion,1,1.6255933415696728e-05
2029,"damaged packaging,poor temperature control - rupture of the cold chain -,unsuitable transport conditions",1,1.6255933415696728e-05
2030,"salmonella enterica ser. bonn,salmonella enterica ser. leeuwarden",1,1.6255933415696728e-05
2031,"soya undeclared,too high content of colour e 120 - carmines",1,1.6255933415696728e-05
2032,unauthorised novel food ingredient esterified cla (conjugated linoleic acid),1,1.6255933415696728e-05
2033,"microbial contamination,too high content of nitrate,too high count of coliforms",1,1.6255933415696728e-05
2034,"salmonella enterica ser. agona,salmonella enterica ser. bareilly,salmonella enterica ser. hvittingfoss,high count of escherichia coli",1,1.6255933415696728e-05
2035,"too high content of colour e 102 - tartrazine,too high content of colour e 122 - azorubine,too high content of colour e 129 - allura red ac",1,1.6255933415696728e-05
2036,"migration of bisphenol a,migration of manganese,too high level of overall migration",1,1.6255933415696728e-05
2037,"flutriafol,unauthorised substance carbendazim",1,1.6255933415696728e-05
2038,"incorrect labelling,poor state of preservation",1,1.6255933415696728e-05
2039,containing intentionally put pieces of a grub (larva of an insect or cricket),1,1.6255933415696728e-05
2040,"migration of dbp - dibutyl phthalate,migration of deha - di(2-ethylhexyl)adipate,migration of dinp - di-isononyl phthalate",1,1.6255933415696728e-05
2041,"unauthorised substance carbofuran,unauthorised substance nicotine,unauthorised substance propargite",1,1.6255933415696728e-05
2042,"salmonella enterica ser. infantis,unauthorised operator",1,1.6255933415696728e-05
2043,"mustard undeclared,traces of peanut",1,1.6255933415696728e-05
2044,liquified,1,1.6255933415696728e-05
2045,"migration of 2-methyl-4'-(methylthio)-2-morpholinopropiophenone,migration of 2.4-diethyl thioxanthone (detx),migration of ethyl-4-dimethylaminobenzoate,migration of isopropyl thioxanthone (itx)",1,1.6255933415696728e-05
2046,migration of bfdge,1,1.6255933415696728e-05
2047,"acetamiprid,buprofezin,chlorpyrifos,imidacloprid",1,1.6255933415696728e-05
2048,"acetamiprid,unauthorised substance profenofos",1,1.6255933415696728e-05
2049,"fenpropidin,unauthorised substance permethrin",1,1.6255933415696728e-05
2050,"formetanate,pirimiphos-methyl,pyridaben",1,1.6255933415696728e-05
2051,"defective packaging,infested with insects,unsuitable organoleptic characteristics",1,1.6255933415696728e-05
2052,"unauthorised colour gardenia yellow,unauthorised colour flavonoid,unauthorised colour spirulina extract",1,1.6255933415696728e-05
2053,"prochloraz,unauthorised substance chlorpyrifos",1,1.6255933415696728e-05
2054,salmonella enterica ser. pretoria,1,1.6255933415696728e-05
2055,"insufficient labelling,unauthorised novel food ingredient ginseng,unauthorised novel food ingredient milk thistle (silybum marianum),unauthorised substance l-carnitine fumarate,unauthorised substance arginine alphaketoglutarate",1,1.6255933415696728e-05
2056,"defective packaging,poor state of preservation",1,1.6255933415696728e-05
2057,"fish undeclared,nuts undeclared,shellfish undeclared",1,1.6255933415696728e-05
2058,"salmonella enterica ser. infantis,salmonella enterica ser. minnesota",1,1.6255933415696728e-05
2059,"too high count of enterobacteriaceae,too high count of escherichia coli",1,1.6255933415696728e-05
2060,"celery undeclared,milk ingredient undeclared,wheat undeclared",1,1.6255933415696728e-05
2061,"crustaceans undeclared,sesame undeclared",1,1.6255933415696728e-05
2062,"mandipropamid,unauthorised substance acephate,unauthorised substance monocrotophos,unauthorised substance triazophos",1,1.6255933415696728e-05
2063,"migration of 2,2-dimethoxy-2-phenylacetophenone,migration of benzophenone",1,1.6255933415696728e-05
2064,"bifenthrin,unauthorised substance profenofos",1,1.6255933415696728e-05
2065,"staphylococcal enterotoxin,staphylococcus aureus",1,1.6255933415696728e-05
2066,"salmonella enterica ser. enteritidis,unauthorised substance clopidol",1,1.6255933415696728e-05
2067,"salmonella enterica ser. ramat-gan (30:k:1,5)",1,1.6255933415696728e-05
2068,salmonella enterica ser. krefeld,1,1.6255933415696728e-05
2069,"phosalone,triadimefon,unauthorised substance hexaconazole,unauthorised substance phenthoate,unauthorised substance tricyclazole",1,1.6255933415696728e-05
2070,"unauthorised use of colour e 120 - carmines,unauthorised use of colour e 129 - allura red ac",1,1.6255933415696728e-05
2071,"coagulation,too high count of mesophiles",1,1.6255933415696728e-05
2072,"incorrect expiry date,suspicion of fraud",1,1.6255933415696728e-05
2073,"flonicamid,unauthorised substance acephate,unauthorised substance monocrotophos",1,1.6255933415696728e-05
2074,"salmonella,salmonella enterica ser. ealing,salmonella enterica ser. havana,salmonella enterica ser. infantis,salmonella enterica ser. orion,salmonella enterica ser. oslo,salmonella enterica ser. schwarzengrund",1,1.6255933415696728e-05
2075,"salmonella enterica ser. matadi,salmonella enterica ser. saintpaul",1,1.6255933415696728e-05
2076,unauthorised novel food ingredient crateva religiosa,1,1.6255933415696728e-05
2077,salmonella enterica ser. saphra,1,1.6255933415696728e-05
2078,"high content of dehp - di(2-ethylhexyl) phthalate,high content of didp - diisodecyl phthalate",1,1.6255933415696728e-05
2079,"migration of formaldehyde,migration of melamine,too high level of overall migration",1,1.6255933415696728e-05
2080,"acetamiprid,azoxystrobin,boscalid,difenoconazole,famoxadone,indoxacarb,mandipropamid,methoxyfenozide,myclobutanil,penconazole,proquinazid,pyraclostrobin,pyrimethanil,tebuconazole,tetraconazole,unauthorised substance iprodione",1,1.6255933415696728e-05
2081,"unauthorised substance carbendazim,unauthorised substance hexaconazole,unauthorised substance tricyclazole",1,1.6255933415696728e-05
2082,"migration of cobalt,migration of nickel",1,1.6255933415696728e-05
2083,"dimethoate,methomyl,unauthorised substance omethoate,unauthorised substance profenofos",1,1.6255933415696728e-05
2084,"salmonella enterica ser. karamoja,salmonella enterica ser. münchen,salmonella enterica ser. winslow",1,1.6255933415696728e-05
2085,absence of iodine,1,1.6255933415696728e-05
2086,high content of vitamin b1,1,1.6255933415696728e-05
2087,sell by date exceeded,1,1.6255933415696728e-05
2088,"acetamiprid,imidacloprid,lambda-cyhalothrin,unauthorised substance fenpropathrin,unauthorised substance tolfenpyrad",1,1.6255933415696728e-05
2089,salmonella enterica ser. slatograd,1,1.6255933415696728e-05
2090,"salmonella enterica ser. augustenborg,salmonella group b",1,1.6255933415696728e-05
2091,"salmonella enterica ser. enteritidis,salmonella enterica ser. telelkebir",1,1.6255933415696728e-05
2092,diflubenzuron,1,1.6255933415696728e-05
2093,too high content of cobalt,1,1.6255933415696728e-05
2094,paenibacillus larvae,1,1.6255933415696728e-05
2095,"salmonella enterica ser. morehead,salmonella enterica ser. oranienburg",1,1.6255933415696728e-05
2096,"migration of chromium,migration of colour,migration of manganese",1,1.6255933415696728e-05
2097,"salmonella enterica ser. molade,salmonella enterica ser. ochiogu,salmonella enterica ser. anatum",1,1.6255933415696728e-05
2098,"salmonella enterica ser. agona,salmonella enterica ser. banana gr. b,salmonella enterica ser. mbandaka,salmonella enterica ser. senftenberg",1,1.6255933415696728e-05
2099,"unauthorised substance phenolphthalein,unauthorised substance sildenafil",1,1.6255933415696728e-05
2100,"absence of health certificate(s),spoilage",1,1.6255933415696728e-05
2101,"fraudulent use of health mark,illegal import,insufficient checks",1,1.6255933415696728e-05
2102,"unauthorised colour para red,unauthorised colour sudan 1,unauthorised colour sudan 3,unauthorised colour sudan 4",1,1.6255933415696728e-05
2103,wire-mounted,1,1.6255933415696728e-05
2104,"listeria monocytogenes,listeria spp,foodborne outbreak suspected",1,1.6255933415696728e-05
2105,"infested with moulds,too high count of escherichia coli",1,1.6255933415696728e-05
2106,"salmonella enterica ser. typhimurium,salmonella enterica ser. virchow",1,1.6255933415696728e-05
2107,traces of wheat,1,1.6255933415696728e-05
2108,"offered online for sale,prohibited substance yohimbine,unauthorised novel food ingredient rauwolfia canescens",1,1.6255933415696728e-05
2109,unauthorised ingredient hawthorn berry (crataegus),1,1.6255933415696728e-05
2110,"acetamiprid,azoxystrobin,boscalid,chlorpyrifos,difenoconazole,indoxacarb,lambda-cyhalothrin,lufenuron,metalaxyl,penconazole,propiconazole,pyraclostrobin,unauthorised substance carbendazim,unauthorised substance fenpropathrin,unauthorised substance fipronil,unauthorised substance propargite",1,1.6255933415696728e-05
2111,"too high content of colour e 102 - tartrazine,unauthorised use of colour e 110 - sunset yellow fcf,unauthorised use of colour e 129 - allura red ac",1,1.6255933415696728e-05
2112,"unauthorised colour orange rn,unauthorised use of colour e 160b - annato/bixin/norbixin",1,1.6255933415696728e-05
2113,"dead mites,rodent excrements",1,1.6255933415696728e-05
2114,"chromium,lead,mercury",1,1.6255933415696728e-05
2115,"staphylococcal enterotoxin,foodborne outbreak suspected",1,1.6255933415696728e-05
2116,salmonella enterica ser. umbadah,1,1.6255933415696728e-05
2117,"too high count of enterobacteriaceae,too high count of coliforms,too high count of mesophiles",1,1.6255933415696728e-05
2118,unauthorised novel food ingredient senna (cassia angustifolia) leaves,1,1.6255933415696728e-05
2119,"presence of antibiotics,prohibited substance chloramphenicol",1,1.6255933415696728e-05
